Domain Code,Domain,Area Code (ISO3),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
FBS,Food Balances (2010-),IND,India,5527,Seed,2901,Grand Total,2022,2022,,,,,
FBS,Food Balances (2010-),IND,India,5123,Losses,2901,Grand Total,2022,2022,,,,,
FBS,Food Balances (2010-),IND,India,5131,Processing,2901,Grand Total,2022,2022,,,,,
FBS,Food Balances (2010-),IND,India,5154,Other uses (non-food),2901,Grand Total,2022,2022,,,,,
FBS,Food Balances (2010-),IND,India,5171,Tourist consumption,2901,Grand Total,2022,2022,,,,,
FBS,Food Balances (2010-),IND,India,5170,Residuals,2901,Grand Total,2022,2022,,,,,
FBS,Food Balances (2010-),IND,India,5142,Food,2901,Grand Total,2022,2022,,,,,
FBS,Food Balances (2010-),IND,India,645,Food supply quantity (kg/capita/yr),2901,Grand Total,2022,2022,,,,,
FBS,Food Balances (2010-),IND,India,664,Food supply (kcal/capita/day),2901,Grand Total,2022,2022,kcal/cap/d,2594.89,E,Estimated value,
FBS,Food Balances (2010-),IND,India,661,Food supply (kcal),2901,Grand Total,2022,2022,million Kcal,1350067507.23,E,Estimated value,
FBS,Food Balances (2010-),IND,India,674,Protein supply quantity (g/capita/day),2901,Grand Total,2022,2022,g/cap/d,73.19,E,Estimated value,
FBS,Food Balances (2010-),IND,India,671,Protein supply quantity (t),2901,Grand Total,2022,2022,t,38081302.15,E,Estimated value,
FBS,Food Balances (2010-),IND,India,684,Fat supply quantity (g/capita/day),2901,Grand Total,2022,2022,g/cap/d,63.18,E,Estimated value,
FBS,Food Balances (2010-),IND,India,681,Fat supply quantity (t),2901,Grand Total,2022,2022,t,32869159.85,E,Estimated value,
FBS,Food Balances (2010-),IND,India,5511,Production,2901,Grand Total,2023,2023,,,,,
FBS,Food Balances (2010-),IND,India,5611,Import quantity,2901,Grand Total,2023,2023,,,,,
FBS,Food Balances (2010-),IND,India,5072,Stock Variation,2901,Grand Total,2023,2023,,,,,
FBS,Food Balances (2010-),IND,India,5911,Export quantity,2901,Grand Total,2023,2023,,,,,
FBS,Food Balances (2010-),IND,India,5301,Domestic supply quantity,2901,Grand Total,2023,2023,,,,,
FBS,Food Balances (2010-),IND,India,5521,Feed,2901,Grand Total,2023,2023,,,,,
FBS,Food Balances (2010-),IND,India,5527,Seed,2901,Grand Total,2023,2023,,,,,
FBS,Food Balances (2010-),IND,India,5123,Losses,2901,Grand Total,2023,2023,,,,,
FBS,Food Balances (2010-),IND,India,5131,Processing,2901,Grand Total,2023,2023,,,,,
FBS,Food Balances (2010-),IND,India,5154,Other uses (non-food),2901,Grand Total,2023,2023,,,,,
FBS,Food Balances (2010-),IND,India,5171,Tourist consumption,2901,Grand Total,2023,2023,,,,,
FBS,Food Balances (2010-),IND,India,5170,Residuals,2901,Grand Total,2023,2023,,,,,
FBS,Food Balances (2010-),IND,India,5142,Food,2901,Grand Total,2023,2023,,,,,
FBS,Food Balances (2010-),IND,India,645,Food supply quantity (kg/capita/yr),2901,Grand Total,2023,2023,,,,,
FBS,Food Balances (2010-),IND,India,664,Food supply (kcal/capita/day),2901,Grand Total,2023,2023,kcal/cap/d,2668.5,E,Estimated value,
FBS,Food Balances (2010-),IND,India,661,Food supply (kcal),2901,Grand Total,2023,2023,million Kcal,1400685392.95,E,Estimated value,
FBS,Food Balances (2010-),IND,India,674,Protein supply quantity (g/capita/day),2901,Grand Total,2023,2023,g/cap/d,74.57,E,Estimated value,
FBS,Food Balances (2010-),IND,India,671,Protein supply quantity (t),2901,Grand Total,2023,2023,t,39143774.67,E,Estimated value,
FBS,Food Balances (2010-),IND,India,684,Fat supply quantity (g/capita/day),2901,Grand Total,2023,2023,g/cap/d,65.74,E,Estimated value,
FBS,Food Balances (2010-),IND,India,681,Fat supply quantity (t),2901,Grand Total,2023,2023,t,34506811.66,E,Estimated value,
FBS,Food Balances (2010-),IND,India,5511,Production,2903,Vegetal Products,2020,2020,,,,,
FBS,Food Balances (2010-),IND,India,5611,Import quantity,2903,Vegetal Products,2020,2020,,,,,
FBS,Food Balances (2010-),IND,India,5072,Stock Variation,2903,Vegetal Products,2020,2020,,,,,
FBS,Food Balances (2010-),IND,India,5911,Export quantity,2903,Vegetal Products,2020,2020,,,,,
FBS,Food Balances (2010-),IND,India,5301,Domestic supply quantity,2903,Vegetal Products,2020,2020,,,,,
FBS,Food Balances (2010-),IND,India,5521,Feed,2903,Vegetal Products,2020,2020,,,,,
FBS,Food Balances (2010-),IND,India,5527,Seed,2903,Vegetal Products,2020,2020,,,,,
FBS,Food Balances (2010-),IND,India,5123,Losses,2903,Vegetal Products,2020,2020,,,,,
FBS,Food Balances (2010-),IND,India,5131,Processing,2903,Vegetal Products,2020,2020,,,,,
FBS,Food Balances (2010-),IND,India,5154,Other uses (non-food),2903,Vegetal Products,2020,2020,,,,,
FBS,Food Balances (2010-),IND,India,5171,Tourist consumption,2903,Vegetal Products,2020,2020,,,,,
FBS,Food Balances (2010-),IND,India,5170,Residuals,2903,Vegetal Products,2020,2020,,,,,
FBS,Food Balances (2010-),IND,India,5142,Food,2903,Vegetal Products,2020,2020,,,,,
FBS,Food Balances (2010-),IND,India,645,Food supply quantity (kg/capita/yr),2903,Vegetal Products,2020,2020,,,,,
FBS,Food Balances (2010-),IND,India,664,Food supply (kcal/capita/day),2903,Vegetal Products,2020,2020,kcal/cap/d,2203.86,E,Estimated value,
FBS,Food Balances (2010-),IND,India,661,Food supply (kcal),2903,Vegetal Products,2020,2020,million Kcal,1128278628.7,E,Estimated value,
FBS,Food Balances (2010-),IND,India,674,Protein supply quantity (g/capita/day),2903,Vegetal Products,2020,2020,g/cap/d,52.14,E,Estimated value,
FBS,Food Balances (2010-),IND,India,671,Protein supply quantity (t),2903,Vegetal Products,2020,2020,t,26693746.44,E,Estimated value,
FBS,Food Balances (2010-),IND,India,684,Fat supply quantity (g/capita/day),2903,Vegetal Products,2020,2020,g/cap/d,37.78,E,Estimated value,
FBS,Food Balances (2010-),IND,India,681,Fat supply quantity (t),2903,Vegetal Products,2020,2020,t,19343071.9,E,Estimated value,
FBS,Food Balances (2010-),IND,India,5511,Production,2903,Vegetal Products,2021,2021,,,,,
FBS,Food Balances (2010-),IND,India,5611,Import quantity,2903,Vegetal Products,2021,2021,,,,,
FBS,Food Balances (2010-),IND,India,5072,Stock Variation,2903,Vegetal Products,2021,2021,,,,,
FBS,Food Balances (2010-),IND,India,5911,Export quantity,2903,Vegetal Products,2021,2021,,,,,
FBS,Food Balances (2010-),IND,India,5301,Domestic supply quantity,2903,Vegetal Products,2021,2021,,,,,
FBS,Food Balances (2010-),IND,India,5521,Feed,2903,Vegetal Products,2021,2021,,,,,
FBS,Food Balances (2010-),IND,India,5527,Seed,2903,Vegetal Products,2021,2021,,,,,
FBS,Food Balances (2010-),IND,India,5123,Losses,2903,Vegetal Products,2021,2021,,,,,
FBS,Food Balances (2010-),IND,India,5131,Processing,2903,Vegetal Products,2021,2021,,,,,
FBS,Food Balances (2010-),IND,India,5154,Other uses (non-food),2903,Vegetal Products,2021,2021,,,,,
FBS,Food Balances (2010-),IND,India,5171,Tourist consumption,2903,Vegetal Products,2021,2021,,,,,
FBS,Food Balances (2010-),IND,India,5170,Residuals,2903,Vegetal Products,2021,2021,,,,,
FBS,Food Balances (2010-),IND,India,5142,Food,2903,Vegetal Products,2021,2021,,,,,
