Domain Code,Domain,Area Code (ISO3),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
ESB,Cropland Nutrient Balance,IND,India,7276,Cropland nitrogen per unit area,5089,Manure applied,2023,2023,kg/ha,12.9228,E,Estimated value,
ESB,Cropland Nutrient Balance,IND,India,7280,Cropland phosphorus,5089,Manure applied,2023,2023,t,453748.0273,E,Estimated value,
ESB,Cropland Nutrient Balance,IND,India,7281,Cropland phosphorus per unit area,5089,Manure applied,2023,2023,kg/ha,2.6957,E,Estimated value,
ESB,Cropland Nutrient Balance,IND,India,7282,Cropland potassium,5089,Manure applied,2023,2023,t,2413566.7256,E,Estimated value,
ESB,Cropland Nutrient Balance,IND,India,7283,Cropland potassium per unit area,5089,Manure applied,2023,2023,kg/ha,14.3389,E,Estimated value,
ESB,Cropland Nutrient Balance,IND,India,7275,Cropland nitrogen,5076,Atmospheric deposition,2020,2020,t,3372329.4976,E,Estimated value,
ESB,Cropland Nutrient Balance,IND,India,7276,Cropland nitrogen per unit area,5076,Atmospheric deposition,2020,2020,kg/ha,20.0677,E,Estimated value,
ESB,Cropland Nutrient Balance,IND,India,7280,Cropland phosphorus,5076,Atmospheric deposition,2020,2020,,,,,
ESB,Cropland Nutrient Balance,IND,India,7281,Cropland phosphorus per unit area,5076,Atmospheric deposition,2020,2020,,,,,
ESB,Cropland Nutrient Balance,IND,India,7282,Cropland potassium,5076,Atmospheric deposition,2020,2020,,,,,
ESB,Cropland Nutrient Balance,IND,India,7283,Cropland potassium per unit area,5076,Atmospheric deposition,2020,2020,,,,,
ESB,Cropland Nutrient Balance,IND,India,7275,Cropland nitrogen,5076,Atmospheric deposition,2021,2021,t,3422721.2862,E,Estimated value,
ESB,Cropland Nutrient Balance,IND,India,7276,Cropland nitrogen per unit area,5076,Atmospheric deposition,2021,2021,kg/ha,20.3564,E,Estimated value,
ESB,Cropland Nutrient Balance,IND,India,7280,Cropland phosphorus,5076,Atmospheric deposition,2021,2021,,,,,
ESB,Cropland Nutrient Balance,IND,India,7281,Cropland phosphorus per unit area,5076,Atmospheric deposition,2021,2021,,,,,
ESB,Cropland Nutrient Balance,IND,India,7282,Cropland potassium,5076,Atmospheric deposition,2021,2021,,,,,
ESB,Cropland Nutrient Balance,IND,India,7283,Cropland potassium per unit area,5076,Atmospheric deposition,2021,2021,,,,,
