Domain Code,Domain,Area Code (ISO3),Area,Element Code,Element,Item Code,Item,Year Code,Year,Source Code,Source,Unit,Value,Flag,Flag Description,Note
GT,Emissions totals,AFG,Afghanistan,7225,Emissions (CH4),5060,Rice Cultivation,2022,2022,3051,UNFCCC,,,,,
GT,Emissions totals,AFG,Afghanistan,7225,Emissions (CH4),5060,Rice Cultivation,2023,2023,3050,FAO TIER 1,kt,18.06,E,Estimated value,
GT,Emissions totals,AFG,Afghanistan,7225,Emissions (CH4),5060,Rice Cultivation,2023,2023,3051,UNFCCC,,,,,
GT,Emissions totals,AFG,Afghanistan,7225,Emissions (CH4),5066,Burning - Crop residues,2020,2020,3050,FAO TIER 1,kt,3.4826,E,Estimated value,
GT,Emissions totals,AFG,Afghanistan,7225,Emissions (CH4),5066,Burning - Crop residues,2020,2020,3051,UNFCCC,,,,,
GT,Emissions totals,AFG,Afghanistan,7225,Emissions (CH4),5066,Burning - Crop residues,2021,2021,3050,FAO TIER 1,kt,2.7983,E,Estimated value,
GT,Emissions totals,AFG,Afghanistan,7225,Emissions (CH4),5066,Burning - Crop residues,2021,2021,3051,UNFCCC,,,,,
GT,Emissions totals,AFG,Afghanistan,7225,Emissions (CH4),5066,Burning - Crop residues,2022,2022,3050,FAO TIER 1,kt,2.5765,E,Estimated value,
GT,Emissions totals,AFG,Afghanistan,7225,Emissions (CH4),5066,Burning - Crop residues,2022,2022,3051,UNFCCC,,,,,
GT,Emissions totals,AFG,Afghanistan,7225,Emissions (CH4),5066,Burning - Crop residues,2023,2023,3050,FAO TIER 1,kt,2.7013,E,Estimated value,
GT,Emissions totals,AFG,Afghanistan,7225,Emissions (CH4),5066,Burning - Crop residues,2023,2023,3051,UNFCCC,,,,,
GT,Emissions totals,AFG,Afghanistan,7225,Emissions (CH4),5058,Enteric Fermentation,2020,2020,3050,FAO TIER 1,kt,379.9824,E,Estimated value,
GT,Emissions totals,AFG,Afghanistan,7225,Emissions (CH4),5058,Enteric Fermentation,2020,2020,3051,UNFCCC,,,,,
GT,Emissions totals,AFG,Afghanistan,7225,Emissions (CH4),5058,Enteric Fermentation,2021,2021,3050,FAO TIER 1,kt,382.0844,E,Estimated value,
GT,Emissions totals,AFG,Afghanistan,7225,Emissions (CH4),5058,Enteric Fermentation,2021,2021,3051,UNFCCC,,,,,
GT,Emissions totals,AFG,Afghanistan,7225,Emissions (CH4),5058,Enteric Fermentation,2022,2022,3050,FAO TIER 1,kt,387.1624,E,Estimated value,
